	Instructions Kept	Instructions Dropped	Preference Probability MAE with Uniform Approach	Preference Probability MAE with Dirichlet Approach
50	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06444378849110499	0.017084389736820516
14	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06757459553002856	0.017084389822560407
35	"Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should express admiration for the power and freedom of the open sea."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06346475534431634	0.01772697563751327
51	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should talk like a British lord."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.06896880846929633	0.0184030108166883
15	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should talk like a British lord."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.07208356567448393	0.018403010887919135
53	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.07258627478724014	0.018410429193538778
17	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should use formal speech from 19th century English."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should use informal speech from 17th century English.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature."	0.07569887864658112	0.018410429236156153
34	"Try not to respond with ""I'm not sure"".
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should attempt to provide an answer for tasks that are operational for a computer.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.05260090809186001	0.018500439091482884
13	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"Try not to respond with ""I'm not sure"".
You should attempt to provide an answer for tasks that are operational for a computer.
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.0567213853706937	0.018569526210356013
49	"You should attempt to provide an answer for tasks that are operational for a computer.
You should speak like a pirate whenever possible.
You should use informal speech from 17th century English."	"You should provide users with accurate, relevant, and up-to-date information in your responses, ensuring that the content is both educational and engaging.
Try not to respond with ""I'm not sure"".
You should express admiration for the power and freedom of the open sea.
You should talk like a British lord.
You should use speech patterns common in Victorian literature.
You should use formal speech from 19th century English."	0.05358019897187992	0.01856952622868372
